product_id,bullet_point,sort_order
UA-Retrofit-Reader-B/W,compatible with the UniFi Retrofit Hub using existing cabling,1
UA-Retrofit-Reader-B/W,Easy to deploy and manage,2
UA-Retrofit-Reader-B/W,Reliable performance,3
UA-G3-Intercom,Indoor/outdoor intercom terminal for managing residential and commercial building entry requests with Touch Pass support,0
UA-G3-Intercom,Enterprise-grade quality,1
UA-G3-Intercom,Easy to deploy and manage,2
UA-G3-Intercom,Reliable performance,3
UA-G2-Intercom,Indoor/outdoor intercom terminal for managing residential and commercial building entry requests,0
UA-G2-Intercom,Enterprise-grade quality,1
UA-G2-Intercom,Easy to deploy and manage,2
UA-G2-Intercom,Reliable performance,3
UA-Ultra,An access reader with a built-in hub for complete,0
UA-Ultra,single-door entry control from one device,1
UA-Ultra,Easy to deploy and manage,2
UA-Ultra,Reliable performance,3
UA-G3-Intercom,Indoor/outdoor intercom terminal for managing residential and commercial building entry requests with Touch Pass support,0
UA-G3-Intercom,Enterprise-grade quality,1
UA-G3-Intercom,Easy to deploy and manage,2
UA-G3-Intercom,Reliable performance,3
UA-G2-Intercom,Indoor/outdoor intercom terminal for managing residential and commercial building entry requests,0
UA-G2-Intercom,Enterprise-grade quality,1
UA-G2-Intercom,Easy to deploy and manage,2
UA-G2-Intercom,Reliable performance,3
UA-G2-Intercom,Indoor/outdoor intercom terminal for managing residential and commercial building entry requests,0
UA-G2-Intercom,Enterprise-grade quality,1
UA-G2-Intercom,Easy to deploy and manage,2
UA-G2-Intercom,Reliable performance,3
UVC-G6-Pro-Entry,An intelligent door entry system with native UniFi Protect and UniFi Access integration with a 12MP camera,0
UVC-G6-Pro-Entry,two-way audio,1
UVC-G6-Pro-Entry,and a 3' touch display,2
UVC-G6-Pro-Entry,Reliable performance,3
UVC-G6-Entry,An intelligent door entry system with native UniFi Protect and UniFi Access integration,0
UVC-G6-Entry,Enterprise-grade quality,1
UVC-G6-Entry,Easy to deploy and manage,2
UVC-G6-Entry,Reliable performance,3
EAH-8,Enterprise-grade access hub with entry and exit control up to eight doors and battery backup support,0
EAH-8,Enterprise-grade quality,1
EAH-8,Easy to deploy and manage,2
EAH-8,Reliable performance,3
UA-Retrofit-Hub-2,DC-powered hub that supports Wiegand and OSDP readers and provides entry and exit control for up to two doors,0
UA-Retrofit-Hub-2,Enterprise-grade quality,1
UA-Retrofit-Hub-2,Easy to deploy and manage,2
UA-Retrofit-Hub-2,Reliable performance,3
UA-Hub-Door,A single-door mechanism that provides complete entry and exit control via connected Access Readers,0
UA-Hub-Door,Enterprise-grade quality,1
UA-Hub-Door,Easy to deploy and manage,2
UA-Hub-Door,Reliable performance,3
UA-Hub-Door-Mini,Compact Access Control Hub for a single door,0
UA-Hub-Door-Mini,Enterprise-grade quality,1
UA-Hub-Door-Mini,Easy to deploy and manage,2
UA-Hub-Door-Mini,Reliable performance,3
UA-Hub-Gate,An advanced Gate Hub enabling seamless gate access control via connected Access readers or Intercom,0
UA-Hub-Gate,Enterprise-grade quality,1
UA-Hub-Gate,Easy to deploy and manage,2
UA-Hub-Gate,Reliable performance,3
UA-Ultra,An access reader with a built-in hub for complete,0
UA-Ultra,single-door entry control from one device,1
UA-Ultra,Easy to deploy and manage,2
UA-Ultra,Reliable performance,3
UA-G3-SK-Pro,Starter kit that provides complete entry and exit control fo a single door with two readers and Touch Pass support,0
UA-G3-SK-Pro,Enterprise-grade quality,1
UA-G3-SK-Pro,Easy to deploy and manage,2
UA-G3-SK-Pro,Reliable performance,3
UA-G2-SK-Pro,Starter kit that provides complete entry and exit control for a single door with two readers,0
UA-G2-SK-Pro,Enterprise-grade quality,1
UA-G2-SK-Pro,Easy to deploy and manage,2
UA-G2-SK-Pro,Reliable performance,3
UA-G3-SK,all-in-one kit for UniFi Access,0
UA-G3-SK,designed to manage a single door with one reader,1
UA-G3-SK,Supports seamless setup and Touch Pass for modern,2
UA-G3-SK,secure access control,3
UA-G2-SK,all-in-one kit for UniFi Access,0
UA-G2-SK,designed to manage a single door with one reader,1
UA-G2-SK,Supports seamless setup for modern,2
UA-G2-SK,secure access control,3
UA-G3-SK-Gate,Starter kit with a Gate Hub,0
UA-G3-SK-Gate,G3 Intercom,1
UA-G3-SK-Gate,PoE++ adapter,2
UA-G3-SK-Gate,and PoE++ over twisted pair extender for access control at a single gate with Touch Pass support,3
UA-G2-SK-Gate,Control a vehicle gate using the connected Intercom and authorize gate access with License Plate Unlock when paired with a compatible Protect AI camera,0
UA-G2-SK-Gate,Enterprise-grade quality,1
UA-G2-SK-Gate,Easy to deploy and manage,2
UA-G2-SK-Gate,Reliable performance,3
UA-SK-Elevator,Connects to in-elevator readers with PoE to authorize floor selection,0
UA-SK-Elevator,Supports up to 18 floors with digital inputs for elevator car status and emergency,1
UA-SK-Elevator,Easy to deploy and manage,2
UA-SK-Elevator,Reliable performance,3
UA-G3-Intercom,Indoor/outdoor intercom terminal for managing residential and commercial building entry request with Touch Pass support,0
UA-G3-Intercom,Enterprise-grade quality,1
UA-G3-Intercom,Easy to deploy and manage,2
UA-G3-Intercom,Reliable performance,3
UA-G2-Intercom,Indoor/outdoor intercom terminal for managing residential and commercial building entry request,0
UA-G2-Intercom,Enterprise-grade quality,1
UA-G2-Intercom,Easy to deploy and manage,2
UA-G2-Intercom,Reliable performance,3
UA-Intercom-Viewer,Indoor/outdoor intercom terminal for managing residential and commercial building entry request with Touch Pass support,0
UA-Intercom-Viewer,Enterprise-grade quality,1
UA-Intercom-Viewer,Easy to deploy and manage,2
UA-Intercom-Viewer,Reliable performance,3
ENVR,3U NVR with (16) 2,0
ENVR,5' drive bays,1
ENVR,supporting up to (70) 4K cameras or (210) Full HD cameras,2
ENVR,Reliable performance,3
UNVR-pro,A 2U-sized video recorder with (7) 2,0
UNVR-pro,5 HDD bays that can provide up to 60 days of storage for (24) 4K cameras or (70) Full HD cameras,1
UNVR-pro,Easy to deploy and manage,2
UNVR-pro,Reliable performance,3
UNVR,A video recorder with (4) 2,0
UNVR,5' HDD bays that can support up to 30 days of storage for (18) 4K cameras or (60) Full HD cameras,1
UNVR,Easy to deploy and manage,2
UNVR,Reliable performance,3
UNVR-Instant,Compact UniFi Protect NVR with 3,0
UNVR-Instant,5 HDD support,1
UNVR-Instant,featuring an integrated 6-port PoE switch,2
UNVR-Instant,integrated HDMI View Port,3
UNVR-Instant-Kit,Compact UniFi Protect NVR Kit,0
UNVR-Instant-Kit,includes (1) UniFi Protect NVR Instant with (4) G5 Turret Ultra cameras and (1) 1TB HDD,1
UNVR-Instant-Kit,delivering an all-in-one solution for fast and effortless setup,2
UNVR-Instant-Kit,Reliable performance,3
UA-Card-10-B/W,A pack of highly-secure NFC cards used for access control within UniFi,0
UA-Card-10-B/W,Enterprise-grade quality,1
UA-Card-10-B/W,Easy to deploy and manage,2
UA-Card-10-B/W,Reliable performance,3
UACC-Retrofit-PoE-2Wire,A pair of extenders that extends PoE over twisted-pair or coaxial cables,0
UACC-Retrofit-PoE-2Wire,ideal for retrofit scenarios,1
UACC-Retrofit-PoE-2Wire,Easy to deploy and manage,2
UACC-Retrofit-PoE-2Wire,Reliable performance,3
UACC-Reader-JB-B/W,Junction box for UniFi Access Readers and Intercom Viewers that support flat surface mounting and attachment to 3/4' conduit,0
UACC-Reader-JB-B/W,Enterprise-grade quality,1
UACC-Reader-JB-B/W,Easy to deploy and manage,2
UACC-Reader-JB-B/W,Reliable performance,3
UACC-Reader-Pro-JB-B/W,Junction box for UniFi Professional Access Readers and Doorbells that supports flat surface mounting and attachment to 3/4' conduit,0
UACC-Reader-Pro-JB-B/W,Enterprise-grade quality,1
UACC-Reader-Pro-JB-B/W,Easy to deploy and manage,2
UACC-Reader-Pro-JB-B/W,Reliable performance,3
UACC-Reader-Pro-AM-B/W,Angled mounting accessory for UniFi Professional Access Readers,0
UACC-Reader-Pro-AM-B/W,Enterprise-grade quality,1
UACC-Reader-Pro-AM-B/W,Easy to deploy and manage,2
UACC-Reader-Pro-AM-B/W,Reliable performance,3
UACC-Intercom-SAM,UniFI Access Intercom surface angle mount accessory,0
UACC-Intercom-SAM,Enterprise-grade quality,1
UACC-Intercom-SAM,Easy to deploy and manage,2
UACC-Intercom-SAM,Reliable performance,3
UACC-Intercom-FM,UniFI Access Intercom flush mount accessory,0
UACC-Intercom-FM,Enterprise-grade quality,1
UACC-Intercom-FM,Easy to deploy and manage,2
UACC-Intercom-FM,Reliable performance,3
UACC-Intercom-Sunshield,UniFI Access Intercom sunshield accessory,0
UACC-Intercom-Sunshield,Enterprise-grade quality,1
UACC-Intercom-Sunshield,Easy to deploy and manage,2
UACC-Intercom-Sunshield,Reliable performance,3
UACC-Intercom-WM,A pack of highly-secure NFC cards used for access control within UniFi,0
UACC-Intercom-WM,Enterprise-grade quality,1
UACC-Intercom-WM,Easy to deploy and manage,2
UACC-Intercom-WM,Reliable performance,3
UACC-Intercom-Viewer-TS,Metal table stand for Intercom Viewer,0
UACC-Intercom-Viewer-TS,Enterprise-grade quality,1
UACC-Intercom-Viewer-TS,Easy to deploy and manage,2
UACC-Intercom-Viewer-TS,Reliable performance,3
UACC-Junction-Utility,An indoor/outdoor enclosure designed for UniFi Access Hubs,0
UACC-Junction-Utility,and accessories,1
UACC-Junction-Utility,Easy to deploy and manage,2
UACC-Junction-Utility,Reliable performance,3
UACC-Retrofit-PSU-12V,12V power supply with optional SLA backup battery support,0
UACC-Retrofit-PSU-12V,compatible with the UniFi Retrofit Hub,1
UACC-Retrofit-PSU-12V,Easy to deploy and manage,2
UACC-Retrofit-PSU-12V,Reliable performance,3
UA-Button,Push-to-exit button designed for UniFi Access Hubs,0
UA-Button,Enterprise-grade quality,1
UA-Button,Easy to deploy and manage,2
UA-Button,Reliable performance,3
UACC-DoorCloser,A mechanical door closer that ensures controlled closure for safety and convenience,0
UACC-DoorCloser,Enterprise-grade quality,1
UACC-DoorCloser,Easy to deploy and manage,2
UACC-DoorCloser,Reliable performance,3
UACC-PanicBar,A single-latched bar installed on emergency exit doors,0
UACC-PanicBar,allowing quick and easy egress by pushing the bar to open the door during emergencies,1
UACC-PanicBar,Easy to deploy and manage,2
UACC-PanicBar,Reliable performance,3
UA-Lock-Magnetic-270kg,Fail-safe magnetic lock for inswing and outswing doors that connects to a UniFI Access Hub,0
UA-Lock-Magnetic-270kg,Enterprise-grade quality,1
UA-Lock-Magnetic-270kg,Easy to deploy and manage,2
UA-Lock-Magnetic-270kg,Reliable performance,3
UACC-Lock-Strike-Secure-15mm,Fail-secure electric strike lock that connects to a UniFi Access Hub,0
UACC-Lock-Strike-Secure-15mm,Enterprise-grade quality,1
UACC-Lock-Strike-Secure-15mm,Easy to deploy and manage,2
UACC-Lock-Strike-Secure-15mm,Reliable performance,3
UACC-Lock-Strike-Safe-15mm,Fail-Safe electric strike lock that connects to a UniFi Access Hub,0
UACC-Lock-Strike-Safe-15mm,Enterprise-grade quality,1
UACC-Lock-Strike-Safe-15mm,Easy to deploy and manage,2
UACC-Lock-Strike-Safe-15mm,Reliable performance,3
UACC-Cable-DoorLockRelay-1P,A 500-foot (152,0
UACC-Cable-DoorLockRelay-1P,4m) spool of one or two pair,1
UACC-Cable-DoorLockRelay-1P,low voltage cable,2
UACC-Cable-DoorLockRelay-1P,Reliable performance,3
UACC-Cable-DoorLockRelay-2P,A 500-foot (152,0
UACC-Cable-DoorLockRelay-2P,4m) spool of one or two pair,1
UACC-Cable-DoorLockRelay-2P,low voltage cable,2
UACC-Cable-DoorLockRelay-2P,Reliable performance,3
UA-Pocket,A pack of (10) highly-secure NFC keyfobs used for access control within UniFi,0
UA-Pocket,Enterprise-grade quality,1
UA-Pocket,Easy to deploy and manage,2
UA-Pocket,Reliable performance,3
UA-Rescue,Keyed emergency override for your Access Hub,0
UA-Rescue,Enterprise-grade quality,1
UA-Rescue,Easy to deploy and manage,2
UA-Rescue,Reliable performance,3
UNAS-Pro-8,2U rack-mount NAS with (8) 2,0
UNAS-Pro-8,5' HDD bays and (2) M,1
UNAS-Pro-8,2 NVMe SSD cache slots,2
UNAS-Pro-8,delivering faster access,3
UNAS-Pro-4,Professional UNAS Pro 4,0
UNAS-Pro-4,Enterprise-grade quality,1
UNAS-Pro-4,Easy to deploy and manage,2
UNAS-Pro-4,Reliable performance,3
UNAS-Pro,2U rack-mount NAS with (7) 2,0
UNAS-Pro,5' drive bays and 10 Gbps performance designed for large-scale file storage and sharing,1
UNAS-Pro,Easy to deploy and manage,2
UNAS-Pro,Reliable performance,3
UNAS-2-B/W,UniFi Network Attached Storage with (2) 3,0
UNAS-2-B/W,5' HDD bays,1
UNAS-2-B/W,5 GbE networking,2
UNAS-2-B/W,USB-C connectivity,3
UNAS-4-B/W,UniFi Network Attached Storage with (4) 2,0
UNAS-4-B/W,5' HDD bays,1
UNAS-4-B/W,2 NVMe SSD cache slots,2
UNAS-4-B/W,5 GbE networking,3
UPS-2U,UniFi managed 1,0
UPS-2U,44kVA rackmount uninterruptible power supply with 4 backup outlets,1
UPS-2U,4 surge outlets,2
UPS-2U,and a field replaceable battery,3
UPS-Tower,High-performance networking solution,0
UPS-Tower,Enterprise-grade reliability,1
UPS-Tower,Easy management and monitoring,2
UPS-Tower,Scalable architecture,3
USW-Mission-Critical(120W),A switch with an integrated 368Wh lithium-ion battery capable of providing uninterruptible PoE to 8 devices,0
USW-Mission-Critical(120W),Enterprise-grade quality,1
USW-Mission-Critical(120W),Easy to deploy and manage,2
USW-Mission-Critical(120W),Reliable performance,3
USP-RPS,950W redundant power supply for rack-mounted UniFi devices,0
USP-RPS,Enterprise-grade quality,1
USP-RPS,Easy to deploy and manage,2
USP-RPS,Reliable performance,3
USP-PDU-Pro,Designed to supply power to an entire rack-mounted UniFi system and remotely manage each connection,0
USP-PDU-Pro,Enterprise-grade quality,1
USP-PDU-Pro,Easy to deploy and manage,2
USP-PDU-Pro,Reliable performance,3
USP-PDU-HD,Designed to supply power to an entire rack-mounted UniFi system and remotely manage each connection,0
USP-PDU-HD,Enterprise-grade quality,1
USP-PDU-HD,Easy to deploy and manage,2
USP-PDU-HD,Reliable performance,3
U5G-Max,A high-performance 5G (3,0
U5G-Max,4 Gbps) modem for any UniFi deployment,1
U5G-Max,Instantly adopt through any UniFi PoE port,2
U5G-Max,it delivers automatic setup,3
U5G-Max-Outdoor,High-performance networking solution,0
U5G-Max-Outdoor,Enterprise-grade reliability,1
U5G-Max-Outdoor,Easy management and monitoring,2
U5G-Max-Outdoor,Scalable architecture,3
UMR-Industrial,and carrier unlocked LTE Cat 4 mobile WiFi router designed for indoor/outdoor IoT applications,0
UMR-Industrial,Enterprise-grade quality,1
UMR-Industrial,Easy to deploy and manage,2
UMR-Industrial,Reliable performance,3
UMR-Ultra,Ultra-compact managed LTE mobile router for IoT applications with integrated LTE,0
UMR-Ultra,automatic failover,1
UMR-Ultra,and DC power input support,2
UMR-Ultra,Reliable performance,3
UMR,Managed mobile WiFi router that brings plug-and-play connectivity to any environment,0
UMR,Use the pre-installed AT&T nano-SIM with three data plan options for LTE data,1
UMR,or bring your own AT&T nano-SIM,2
UMR,Reliable performance,3
U-LTE,Seamless internet failover for UniFi gateways,0
U-LTE,Includes an AT&T SIM and data plan for plug-and-play deployment,1
U-LTE,Easy to deploy and manage,2
U-LTE,Reliable performance,3
U-LTE-Backup Pro,Seamless internet failover for UniFi gateways,0
U-LTE-Backup Pro,Bring your own AT&T nano-SIM for LTE data,1
U-LTE-Backup Pro,Easy to deploy and manage,2
U-LTE-Backup Pro,Reliable performance,3
UTP-G3-Touch-Enterprise,Next-generation premium desktop smartphone for UniFi Talk,0
UTP-G3-Touch-Enterprise,featuring a 7' touch display and seamless integration with UniFi applications,1
UTP-G3-Touch-Enterprise,Easy to deploy and manage,2
UTP-G3-Touch-Enterprise,Reliable performance,3
UTP-G3-Touch-Pro,Next-generation desktop smartphone for UniFi Talk,0
UTP-G3-Touch-Pro,featuring a 5' touch display and seamless integration with UniFi applications,1
UTP-G3-Touch-Pro,Easy to deploy and manage,2
UTP-G3-Touch-Pro,Reliable performance,3
UTP-G3-Touch-Wall,Next-generation wall-mountable smartphone for UniFi Talk,0
UTP-G3-Touch-Wall,featuring a 7' touch display and seamless integration with UniFi applications,1
UTP-G3-Touch-Wall,Easy to deploy and manage,2
UTP-G3-Touch-Wall,Reliable performance,3
UTP-TouchMax-B/W,High-performance networking solution,0
UTP-TouchMax-B/W,Enterprise-grade reliability,1
UTP-TouchMax-B/W,Easy management and monitoring,2
UTP-TouchMax-B/W,Scalable architecture,3
UTP-Touch-B/W,Versatile desktop smartphone that eliminates the learning curve,0
UTP-Touch-B/W,Enterprise-grade quality,1
UTP-Touch-B/W,Easy to deploy and manage,2
UTP-Touch-B/W,Reliable performance,3
UT-G3-Handset,Wireless handset which supports clear,0
UT-G3-Handset,high-quality audio for G3 Touch Phones,1
UT-G3-Handset,Easy to deploy and manage,2
UT-G3-Handset,Reliable performance,3
UT-ATA,Easy-to-deploy adapter for managing analog telephones and fax machines with UniFi Talk,0
UT-ATA,Enterprise-grade quality,1
UT-ATA,Easy to deploy and manage,2
UT-ATA,Reliable performance,3
UC-EV-Station-Pro,Weatherproof,0
UC-EV-Station-Pro,11 kW Level 2 electric vehicle charging station with an ultra-bright 10,1
UC-EV-Station-Pro,1' touch display,2
UC-EV-Station-Pro,flexible access control,3
UC-EV-Station-Lite,High-performance networking solution,0
UC-EV-Station-Lite,Enterprise-grade reliability,1
UC-EV-Station-Lite,Easy management and monitoring,2
UC-EV-Station-Lite,Scalable architecture,3
UPL-Amp-B/W,Premium speaker amplifier designed for high-fidelity multi-zone audio streaming and immersive spatial sound experiences,0
UPL-Amp-B/W,Enterprise-grade quality,1
UPL-Amp-B/W,Easy to deploy and manage,2
UPL-Amp-B/W,Reliable performance,3
UPL-Port-B/W,A digital audio streamer with an ultra-compact,0
UPL-Port-B/W,versatile design and an intuitive control system,1
UPL-Port-B/W,supporting multiple music streaming services and scalable multi-zone installations,2
UPL-Port-B/W,Reliable performance,3
UC-Cast-Pro,Managed digital signage player for HMI display with media content playback,0
UC-Cast-Pro,and USB-C peripheral support,1
UC-Cast-Pro,Easy to deploy and manage,2
UC-Cast-Pro,Reliable performance,3
UC-Cast-Lite,Digital signage player designed for media playback on HDMI displays,0
UC-Cast-Lite,Enterprise-grade quality,1
UC-Cast-Lite,Easy to deploy and manage,2
UC-Cast-Lite,Reliable performance,3
ECS-Aggregation,8 Tbps high-density 100G/25G Layer 3 Etherlighting™ aggregation switch with MC-LAG support for high availability system design,0
ECS-Aggregation,Enterprise-grade quality,1
ECS-Aggregation,Easy to deploy and manage,2
ECS-Aggregation,Reliable performance,3
USW-Pro-XG-Aggregation,High-performance networking solution,0
USW-Pro-XG-Aggregation,Enterprise-grade reliability,1
USW-Pro-XG-Aggregation,Easy management and monitoring,2
USW-Pro-XG-Aggregation,Scalable architecture,3
USW-Pro-Aggregation,Layer 3 switch made for high-capacity 10G SFP+ and 25G SFP28 connections,0
USW-Pro-Aggregation,Enterprise-grade quality,1
USW-Pro-Aggregation,Easy to deploy and manage,2
USW-Pro-Aggregation,Reliable performance,3
USW-Aggregation,Layer 2 switch made for 10G SFP+ connections,0
USW-Aggregation,Enterprise-grade quality,1
USW-Aggregation,Easy to deploy and manage,2
USW-Aggregation,Reliable performance,3
ECS-48-PoE(2150W),Enterprise-grade 48-port,0
ECS-48-PoE(2150W),Layer 3 Etherlighting™ PoE+++ switch with high-capacity 10 GbE RJ45 and 25G SFP28 connections for high availability system design,1
ECS-48-PoE(2150W),Easy to deploy and manage,2
ECS-48-PoE(2150W),Reliable performance,3
ECS-24-PoE(1050W),High-performance networking solution,0
ECS-24-PoE(1050W),Enterprise-grade reliability,1
ECS-24-PoE(1050W),Easy management and monitoring,2
ECS-24-PoE(1050W),Scalable architecture,3
ECS-48S-PoE(2150W),Enterprise-grade 48-port,0
ECS-48S-PoE(2150W),Layer 3 Etherlighting™ PoE+++ switch with Stacking support and high-capacity 10 GbE RJ45 and 25G SFP28 connections for high availability system design,1
ECS-48S-PoE(2150W),Easy to deploy and manage,2
ECS-48S-PoE(2150W),Reliable performance,3
ECS-24S-PoE(1050W),Enterprise-grade 24-port,0
ECS-24S-PoE(1050W),Layer 3 Etherlighting™ PoE+++ switch with Stacking support and high-capacity 10 GbE RJ45 and 25G SFP28 connections for high availability system design,1
ECS-24S-PoE(1050W),Easy to deploy and manage,2
ECS-24S-PoE(1050W),Reliable performance,3
ECS-Aggregation,8 Tbps high-density 100G/25G Layer 3 Etherlighting™ aggregation switch with MC-LAG support for high availability system design,0
ECS-Aggregation,Enterprise-grade quality,1
ECS-Aggregation,Easy to deploy and manage,2
ECS-Aggregation,Reliable performance,3
USW-Pro-Max-48-PoE(720W),Layer 3 Etherlighting™ switch with 2,0
USW-Pro-Max-48-PoE(720W),5 GbE and PoE++ output,1
USW-Pro-Max-48-PoE(720W),Easy to deploy and manage,2
USW-Pro-Max-48-PoE(720W),Reliable performance,3
USW-Pro-Max-24-PoE(400W),High-performance networking solution,0
USW-Pro-Max-24-PoE(400W),Enterprise-grade reliability,1
USW-Pro-Max-24-PoE(400W),Easy management and monitoring,2
USW-Pro-Max-24-PoE(400W),Scalable architecture,3
USW-Pro-XG-48-PoE(1080),Professional-grade,0
USW-Pro-XG-48-PoE(1080),48-port Layer 3 Etherlighting™ PoE+++ switch with (32) 10 GbE,1
USW-Pro-XG-48-PoE(1080),and (4) 25G SFP28 ports,2
USW-Pro-XG-48-PoE(1080),Reliable performance,3
USW-Pro-XG-24-PoE(720W),Professional-grade,0
USW-Pro-XG-24-PoE(720W),24-port Layer 3 Etherlighting™ PoE+++ switch with (16) 10 GbE,1
USW-Pro-XG-24-PoE(720W),and (2) 25G SFP28 ports,2
USW-Pro-XG-24-PoE(720W),Reliable performance,3
USW-Pro-HD-24-PoE(600W),Professional-grade,0
USW-Pro-HD-24-PoE(600W),Layer 3 Etherlighting™ switch with (2) 10 GbE PoE++,1
USW-Pro-HD-24-PoE(600W),5 GbE PoE++,2
USW-Pro-HD-24-PoE(600W),and (4) 10G SFP+ ports,3
USW-Pro-XG-48,Professional-grade,0
USW-Pro-XG-48,48-port Layer 3 Etherlighting™ switch with (32) 10 GbE,1
USW-Pro-XG-48,and (4) 25G SFP28 ports,2
USW-Pro-XG-48,Reliable performance,3
USW-Pro-XG-24,Professional-grade,0
USW-Pro-XG-24,24-port Layer 3 Etherlighting™ switch with (16) 10 GbE,1
USW-Pro-XG-24,and (2) 25G SFP28 ports,2
USW-Pro-XG-24,Reliable performance,3
USW-Pro-XG-10-PoE(400W),professional-grade 10-port,0
USW-Pro-XG-10-PoE(400W),Layer 3 Etherlighting™ PoE+++ switch with (10) 10 GbE and (2) 10G SFP+ ports,1
USW-Pro-XG-10-PoE(400W),Easy to deploy and manage,2
USW-Pro-XG-10-PoE(400W),Reliable performance,3
USW-Pro-Max-16-PoE(180W),Layer 3 Etherlighting™ switch with 2,0
USW-Pro-Max-16-PoE(180W),PoE++ output,1
USW-Pro-Max-16-PoE(180W),and versatile mounting options,2
USW-Pro-Max-16-PoE(180W),Reliable performance,3
USW-Pro-HD-24,Proffesional-grade,0
USW-Pro-HD-24,Layer 3 Etherlighting™ switch with (2) 10 GbE,1
USW-Pro-HD-24,and (4) 10G SFP+ ports,2
USW-Pro-HD-24,Reliable performance,3
USW-Pro-Max-48,Layer 3 Etherlighting™ switch with 2,0
USW-Pro-Max-48,Enterprise-grade quality,1
USW-Pro-Max-48,Easy to deploy and manage,2
USW-Pro-Max-48,Reliable performance,3
USW-Pro-Max-24,Layer 3 Etherlighting™ switch with 2,0
USW-Pro-Max-24,Enterprise-grade quality,1
USW-Pro-Max-24,Easy to deploy and manage,2
USW-Pro-Max-24,Reliable performance,3
USW-Pro-Max-16,Layer 3 Etherlighting™ switch 2,0
USW-Pro-Max-16,5 GbE and versatile mounting options,1
USW-Pro-Max-16,Easy to deploy and manage,2
USW-Pro-Max-16,Reliable performance,3
USW-Pro-48-PoE(600W),Layer 3 switch capable of high-power PoE++ output,0
USW-Pro-48-PoE(600W),Enterprise-grade quality,1
USW-Pro-48-PoE(600W),Easy to deploy and manage,2
USW-Pro-48-PoE(600W),Reliable performance,3
USW-Pro-24-PoE(400W),High-performance networking solution,0
USW-Pro-24-PoE(400W),Enterprise-grade reliability,1
USW-Pro-24-PoE(400W),Easy management and monitoring,2
USW-Pro-24-PoE(400W),Scalable architecture,3
USW-Pro-48,Layer 3 switch supporting 10G SFP+ connections with fanless cooling,0
USW-Pro-48,Enterprise-grade quality,1
USW-Pro-48,Easy to deploy and manage,2
USW-Pro-48,Reliable performance,3
USW-Pro-24,Layer 3 switch supporting 10G SFP+ connections with fanless cooling,0
USW-Pro-24,Enterprise-grade quality,1
USW-Pro-24,Easy to deploy and manage,2
USW-Pro-24,Reliable performance,3
USW-Enterprise-48-PoE(720W),Layer 3 switch with 2,0
USW-Enterprise-48-PoE(720W),5 GbE PoE+ output,1
USW-Enterprise-48-PoE(720W),Easy to deploy and manage,2
USW-Enterprise-48-PoE(720W),Reliable performance,3
USW-Enterprise-24-PoE(400W),Layer 3 switch with 2,0
USW-Enterprise-24-PoE(400W),5 GbE PoE+ output,1
USW-Enterprise-24-PoE(400W),Easy to deploy and manage,2
USW-Enterprise-24-PoE(400W),Reliable performance,3
USW-Mission-Critical-(120W),A switch with an integrated 368Wh lithium-ion battery capable of providing un interruptible PoE to 8 devices,0
USW-Mission-Critical-(120W),Enterprise-grade quality,1
USW-Mission-Critical-(120W),Easy to deploy and manage,2
USW-Mission-Critical-(120W),Reliable performance,3
USW-48-PoE(195W),Layer 2 PoE switch with a silent,0
USW-48-PoE(195W),fanless cooling system,1
USW-48-PoE(195W),Easy to deploy and manage,2
USW-48-PoE(195W),Reliable performance,3
USW-24-PoE(95W),High-performance networking solution,0
USW-24-PoE(95W),Enterprise-grade reliability,1
USW-24-PoE(95W),Easy management and monitoring,2
USW-24-PoE(95W),Scalable architecture,3
USW-16-PoE(42W),Layer 2 PoE switch with a silent,0
USW-16-PoE(42W),fanless cooling system,1
USW-16-PoE(42W),Easy to deploy and manage,2
USW-16-PoE(42W),Reliable performance,3
USW-48,Layer 2 switch with a silent,0
USW-48,fanless cooling system,1
USW-48,Easy to deploy and manage,2
USW-48,Reliable performance,3
USW-24,Layer 2 switch with a silent,0
USW-24,fanless cooling system,1
USW-24,Easy to deploy and manage,2
USW-24,Reliable performance,3
USW-WAN,10G SFP+ WAN Switch linking two Shadow Mode High Availability UniFi Gateways to a single ISP,0
USW-WAN,Enterprise-grade quality,1
USW-WAN,Easy to deploy and manage,2
USW-WAN,Reliable performance,3
USW-WAN-RJ45,High-performance networking solution,0
USW-WAN-RJ45,Enterprise-grade reliability,1
USW-WAN-RJ45,Easy management and monitoring,2
USW-WAN-RJ45,Scalable architecture,3
USW-Lite-16-PoE(45W),A wall-mounteable,0
USW-Lite-16-PoE(45W),Layer 2 PoE switch with a fanless cooling system,1
USW-Lite-16-PoE(45W),Easy to deploy and manage,2
USW-Lite-16-PoE(45W),Reliable performance,3
USW-Lite-8-PoE(52W),High-performance networking solution,0
USW-Lite-8-PoE(52W),Enterprise-grade reliability,1
USW-Lite-8-PoE(52W),Easy management and monitoring,2
USW-Lite-8-PoE(52W),Scalable architecture,3
USW-Pro-XG-8-PoE(155W),Compact desktop/wall-mountable,0
USW-Pro-XG-8-PoE(155W),professional-grade 8-port,1
USW-Pro-XG-8-PoE(155W),Layer 3 Etherlighting™ PoE++ switch with (8) 10 GbE and (2) 10G SFP+ ports,2
USW-Pro-XG-8-PoE(155W),Reliable performance,3
USW-Enterprise-8-PoE(120W),Layer 3 switch with 2,0
USW-Enterprise-8-PoE(120W),5 GbE PoE+ output,1
